text,label
PEI non aggiornato [SEP] La scuola non ha previsto attività di sensibilizzazione sulla disabilità.,Istruzione/formazione/inclusione scolastica
Esclusione attività scolastiche [SEP] È richiesto un corso di formazione per i docenti sull'autismo.,Istruzione/formazione/inclusione scolastica
PEI non aggiornato [SEP] L'assistente educativo non è presente durante le ore pomeridiane.,Istruzione/formazione/inclusione scolastica
PEI non aggiornato [SEP] Il bambino è stato inserito in una classe senza il necessario supporto.,Istruzione/formazione/inclusione scolastica
Esclusione attività scolastiche [SEP] La scuola non ha previsto attività di sensibilizzazione sulla disabilità.,Istruzione/formazione/inclusione scolastica
Esclusione attività scolastiche [SEP] Il bambino non può accedere all'aula al piano superiore per assenza di ascensore.,Istruzione/formazione/inclusione scolastica
PEI non aggiornato [SEP] Il ragazzo con DSA non ha ricevuto gli strumenti compensativi previsti.,Istruzione/formazione/inclusione scolastica
PEI non aggiornato [SEP] La famiglia chiede chiarimenti sul diritto all'insegnante di sostegno per tutte le ore.,Istruzione/formazione/inclusione scolastica
Mancato sostegno scolastico [SEP] La scuola non dispone di materiali didattici in formato accessibile.,Istruzione/formazione/inclusione scolastica
Mancato sostegno scolastico [SEP] La scuola non ha partecipato all'incontro con i servizi sociali.,Istruzione/formazione/inclusione scolastica
Mancato sostegno scolastico [SEP] Non sono stati garantiti i tempi aggiuntivi durante le verifiche scritte.,Istruzione/formazione/inclusione scolastica
Mancato sostegno scolastico [SEP] La scuola non ha attivato misure dispensative per l'alunno con dislessia.,Istruzione/formazione/inclusione scolastica
Esclusione attività scolastiche [SEP] Il docente di sostegno è stato assegnato solo a metà anno scolastico.,Istruzione/formazione/inclusione scolastica
Mancato sostegno scolastico [SEP] È richiesto un corso di formazione per i docenti sull'autismo.,Istruzione/formazione/inclusione scolastica
Mancato sostegno scolastico [SEP] La famiglia chiede chiarimenti sul diritto all'insegnante di sostegno per tutte le ore.,Istruzione/formazione/inclusione scolastica
Esclusione attività scolastiche [SEP] Non è stata garantita la continuità dell'insegnante di sostegno nel passaggio di classe.,Istruzione/formazione/inclusione scolastica
PEI non aggiornato [SEP] Il docente di sostegno è stato assegnato solo a metà anno scolastico.,Istruzione/formazione/inclusione scolastica
Esclusione attività scolastiche [SEP] Non è stata attivata la figura dello specialista di comunicazione aumentativa alternativa.,Istruzione/formazione/inclusione scolastica
